,date,open,high,low,close,volume,oi
0,2022-06-20 09:15:00+05:30,393.85,394.15,391.4,391.4,22800,5514750
1,2022-06-20 09:16:00+05:30,391.4,393.7,391.4,392.2,18525,5514750
2,2022-06-20 09:17:00+05:30,392.2,392.2,391.0,391.0,8550,5536125
3,2022-06-20 09:18:00+05:30,391.5,391.6,391.0,391.15,15675,5536125
4,2022-06-20 09:19:00+05:30,391.15,392.35,391.15,391.85,27075,5536125
5,2022-06-20 09:20:00+05:30,392.1,393.15,391.3,392.8,45600,5551800
6,2022-06-20 09:21:00+05:30,392.65,393.1,391.65,392.4,19950,5551800
7,2022-06-20 09:22:00+05:30,392.4,392.4,391.65,391.65,5700,5551800
8,2022-06-20 09:23:00+05:30,391.65,391.65,390.85,391.4,25650,5566050
9,2022-06-20 09:24:00+05:30,391.3,391.4,390.0,390.0,11400,5566050
10,2022-06-20 09:25:00+05:30,390.0,390.05,389.25,389.75,27075,5566050
11,2022-06-20 09:26:00+05:30,389.75,389.9,389.0,389.55,8550,5560350
12,2022-06-20 09:27:00+05:30,389.55,390.0,389.2,389.2,12825,5560350
13,2022-06-20 09:28:00+05:30,389.2,389.6,389.15,389.15,7125,5560350
14,2022-06-20 09:29:00+05:30,389.35,389.75,389.35,389.6,9975,5554650
15,2022-06-20 09:30:00+05:30,389.5,389.5,388.5,388.5,12825,5554650
16,2022-06-20 09:31:00+05:30,388.5,388.7,388.5,388.55,9975,5554650
17,2022-06-20 09:32:00+05:30,388.15,389.1,388.0,388.0,18525,5563200
18,2022-06-20 09:33:00+05:30,388.0,389.1,388.0,388.7,4275,5563200
19,2022-06-20 09:34:00+05:30,388.7,388.7,387.85,388.1,19950,5563200
20,2022-06-20 09:35:00+05:30,388.1,388.6,387.5,387.5,8550,5586000
21,2022-06-20 09:36:00+05:30,387.5,387.5,386.85,387.25,11400,5586000
22,2022-06-20 09:37:00+05:30,387.25,387.65,387.25,387.65,5700,5586000
23,2022-06-20 09:38:00+05:30,387.65,387.65,386.4,386.4,19950,5590275
24,2022-06-20 09:39:00+05:30,386.4,387.0,386.4,386.5,7125,5590275
25,2022-06-20 09:40:00+05:30,386.25,386.5,385.85,385.95,19950,5590275
26,2022-06-20 09:41:00+05:30,385.95,385.95,385.0,385.1,17100,5618775
27,2022-06-20 09:42:00+05:30,385.1,385.75,385.0,385.0,59850,5618775
28,2022-06-20 09:43:00+05:30,385.0,385.6,384.7,385.0,21375,5618775
29,2022-06-20 09:44:00+05:30,385.0,385.0,384.1,384.5,21375,5634450
30,2022-06-20 09:45:00+05:30,384.5,384.8,384.3,384.3,17100,5634450
31,2022-06-20 09:46:00+05:30,384.3,385.25,384.3,385.1,11400,5634450
32,2022-06-20 09:47:00+05:30,385.1,385.3,385.0,385.3,24225,5634450
33,2022-06-20 09:48:00+05:30,385.3,385.3,384.65,385.0,14250,5634450
34,2022-06-20 09:49:00+05:30,385.15,385.5,385.0,385.05,21375,5634450
35,2022-06-20 09:50:00+05:30,385.05,385.95,385.0,385.95,5700,5657250
36,2022-06-20 09:51:00+05:30,385.95,386.25,385.8,386.2,4275,5657250
37,2022-06-20 09:52:00+05:30,386.2,386.45,386.2,386.2,1425,5657250
38,2022-06-20 09:53:00+05:30,386.2,386.3,386.0,386.0,7125,5657250
39,2022-06-20 09:54:00+05:30,386.0,386.55,386.0,386.1,5700,5657250
40,2022-06-20 09:55:00+05:30,386.1,386.4,386.1,386.25,11400,5657250
41,2022-06-20 09:56:00+05:30,386.25,386.35,386.25,386.35,2850,5670075
42,2022-06-20 09:57:00+05:30,386.35,386.85,386.35,386.85,2850,5670075
43,2022-06-20 09:58:00+05:30,386.85,386.85,385.75,385.75,7125,5670075
44,2022-06-20 09:59:00+05:30,385.75,385.75,385.2,385.55,18525,5675775
45,2022-06-20 10:00:00+05:30,385.55,385.6,385.25,385.25,4275,5675775
46,2022-06-20 10:01:00+05:30,385.25,385.95,384.9,385.95,18525,5675775
47,2022-06-20 10:02:00+05:30,385.95,387.15,385.95,386.75,45600,5694300
48,2022-06-20 10:03:00+05:30,386.75,387.55,386.75,387.55,1425,5694300
49,2022-06-20 10:04:00+05:30,387.55,387.55,386.4,386.7,14250,5694300
50,2022-06-20 10:05:00+05:30,386.7,386.7,386.0,386.0,4275,5698575
51,2022-06-20 10:06:00+05:30,386.0,386.9,386.0,386.9,5700,5698575
52,2022-06-20 10:07:00+05:30,386.9,386.9,386.4,386.75,2850,5698575
53,2022-06-20 10:08:00+05:30,386.75,386.75,386.05,386.05,9975,5701425
54,2022-06-20 10:09:00+05:30,386.05,386.05,386.05,386.05,0,5701425
55,2022-06-20 10:10:00+05:30,386.05,386.05,385.3,385.3,12825,5701425
56,2022-06-20 10:11:00+05:30,385.3,385.4,385.25,385.4,7125,5709975
57,2022-06-20 10:12:00+05:30,385.4,385.4,385.0,385.05,24225,5709975
58,2022-06-20 10:13:00+05:30,385.05,385.1,384.8,384.95,8550,5709975
59,2022-06-20 10:14:00+05:30,384.95,385.6,384.95,385.6,4275,5711400
60,2022-06-20 10:15:00+05:30,385.6,386.45,385.6,386.35,21375,5711400
61,2022-06-20 10:16:00+05:30,386.35,387.95,386.35,387.95,22800,5711400
62,2022-06-20 10:17:00+05:30,387.95,388.45,387.95,388.05,12825,5731350
63,2022-06-20 10:18:00+05:30,388.05,388.05,387.45,387.45,5700,5731350
64,2022-06-20 10:19:00+05:30,387.45,387.45,386.65,386.65,5700,5731350
65,2022-06-20 10:20:00+05:30,386.65,386.65,386.15,386.15,15675,5752725
66,2022-06-20 10:21:00+05:30,385.75,386.15,385.6,385.7,8550,5752725
67,2022-06-20 10:22:00+05:30,385.7,385.7,385.7,385.7,0,5752725
68,2022-06-20 10:23:00+05:30,385.7,385.7,385.2,385.2,1425,5754150
69,2022-06-20 10:24:00+05:30,385.5,385.7,385.05,385.05,8550,5754150
70,2022-06-20 10:25:00+05:30,385.05,385.3,384.75,384.75,14250,5754150
71,2022-06-20 10:26:00+05:30,384.75,384.75,384.4,384.4,5700,5766975
72,2022-06-20 10:27:00+05:30,384.4,384.85,384.4,384.85,1425,5766975
73,2022-06-20 10:28:00+05:30,384.85,385.2,384.85,384.85,8550,5766975
74,2022-06-20 10:29:00+05:30,384.85,384.85,384.85,384.85,0,5766975
