,date,open,high,low,close,volume,oi
0,2022-05-27 09:15:00+05:30,298,298,298,298,0,0
1,2022-05-27 09:17:00+05:30,298,298,298,298,0,0
2,2022-05-27 09:19:00+05:30,298,298,298,298,0,0
3,2022-05-27 09:42:00+05:30,298,298,298,298,0,0
4,2022-05-27 09:43:00+05:30,298,298,298,298,0,0
5,2022-05-27 09:44:00+05:30,298,298,298,298,0,0
6,2022-05-27 09:46:00+05:30,298,298,298,298,0,0
7,2022-05-27 09:47:00+05:30,298,298,298,298,0,0
8,2022-05-27 10:17:00+05:30,298,298,298,298,0,0
9,2022-05-27 10:24:00+05:30,298,298,298,298,0,0
10,2022-05-27 10:25:00+05:30,298,298,298,298,0,0
11,2022-05-27 10:54:00+05:30,298,298,298,298,0,0
12,2022-05-27 10:55:00+05:30,298,298,298,298,0,0
13,2022-05-27 10:56:00+05:30,298,298,298,298,0,0
14,2022-05-27 11:02:00+05:30,298,298,298,298,0,0
15,2022-05-27 11:48:00+05:30,298,298,298,298,0,0
16,2022-05-27 11:49:00+05:30,298,298,298,298,0,0
17,2022-05-27 12:03:00+05:30,298,298,298,298,0,0
18,2022-05-27 12:06:00+05:30,298,298,298,298,0,0
19,2022-05-27 12:07:00+05:30,298,298,298,298,0,0
20,2022-05-27 12:09:00+05:30,298,298,298,298,0,0
21,2022-05-27 12:10:00+05:30,298,298,298,298,0,0
22,2022-05-27 12:16:00+05:30,298,298,298,298,0,0
23,2022-05-27 12:17:00+05:30,298,298,298,298,0,0
24,2022-05-27 12:24:00+05:30,298,298,298,298,0,0
25,2022-05-27 13:16:00+05:30,298,298,298,298,0,0
26,2022-05-27 13:21:00+05:30,298,298,298,298,0,0
27,2022-05-27 13:22:00+05:30,298,298,298,298,0,0
28,2022-05-27 14:53:00+05:30,298,298,298,298,0,0
29,2022-05-27 15:06:00+05:30,298,298,298,298,0,0
30,2022-05-27 15:09:00+05:30,298,298,298,298,0,0
31,2022-05-27 15:27:00+05:30,298,298,298,298,0,0
