,date,open,high,low,close,volume,oi
0,2022-06-20 09:15:00+05:30,3103.85,3114.75,3101.5,3111.8,900,1167900
1,2022-06-20 09:16:00+05:30,3113.9,3117.0,3107.95,3114.6,10050,1167900
2,2022-06-20 09:17:00+05:30,3112.6,3114.8,3108.0,3112.65,3750,1173900
3,2022-06-20 09:18:00+05:30,3113.2,3124.0,3113.2,3123.25,4050,1173900
4,2022-06-20 09:19:00+05:30,3124.0,3126.0,3115.35,3116.15,3450,1173900
5,2022-06-20 09:20:00+05:30,3116.15,3121.45,3112.85,3114.3,2700,1171650
6,2022-06-20 09:21:00+05:30,3113.8,3120.95,3113.8,3114.0,4650,1171650
7,2022-06-20 09:22:00+05:30,3114.0,3114.0,3100.0,3102.25,13500,1171650
8,2022-06-20 09:23:00+05:30,3102.25,3107.25,3102.25,3107.25,2250,1181850
9,2022-06-20 09:24:00+05:30,3107.25,3107.25,3102.85,3103.6,2100,1181850
10,2022-06-20 09:25:00+05:30,3103.6,3103.95,3096.35,3103.95,1050,1181850
11,2022-06-20 09:26:00+05:30,3105.6,3107.1,3104.35,3106.4,2100,1183200
12,2022-06-20 09:27:00+05:30,3108.0,3108.0,3103.35,3103.35,450,1183200
13,2022-06-20 09:28:00+05:30,3103.35,3103.45,3102.0,3102.0,1200,1183200
14,2022-06-20 09:29:00+05:30,3102.0,3102.0,3094.2,3097.3,8550,1189650
15,2022-06-20 09:30:00+05:30,3097.3,3098.2,3096.35,3096.5,900,1189650
16,2022-06-20 09:31:00+05:30,3096.5,3098.25,3096.0,3098.25,1800,1189650
17,2022-06-20 09:32:00+05:30,3098.25,3103.45,3098.25,3099.65,1350,1189650
18,2022-06-20 09:33:00+05:30,3099.65,3108.0,3099.65,3105.55,7050,1189650
19,2022-06-20 09:34:00+05:30,3105.55,3107.0,3100.0,3101.95,1500,1189650
20,2022-06-20 09:35:00+05:30,3101.95,3102.0,3094.1,3098.2,15450,1190250
21,2022-06-20 09:36:00+05:30,3098.2,3098.55,3093.05,3096.85,3150,1190250
22,2022-06-20 09:37:00+05:30,3096.85,3099.7,3095.7,3099.65,1950,1190250
23,2022-06-20 09:38:00+05:30,3099.65,3100.2,3096.5,3100.2,750,1200000
24,2022-06-20 09:39:00+05:30,3098.7,3100.8,3092.35,3092.35,1650,1200000
